model,task,layer_idx,count,avg_image_ratio,avg_prompt_ratio,avg_gen_ratio
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,1,650,0.07993708683894231,0.7202524038461539,0.19980262169471155
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,2,650,0.6915782752403846,0.21542705829326922,0.09298457219050481
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,3,650,0.5710851111778846,0.3719685246394231,0.05695594200721154
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,4,650,0.4679240534855769,0.42115271935096155,0.11092726487379807
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,5,650,0.603427734375,0.3466026893028846,0.04996769831730769
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,6,650,0.4692499248798077,0.46057466947115383,0.0701806640625
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,7,650,0.5588439002403847,0.3915809044471154,0.04956103985126202
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,8,650,0.42834622896634617,0.39721717247596156,0.17443697415865383
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,9,650,0.5896213942307692,0.34512469951923075,0.06525569035456731
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,10,650,0.3884990985576923,0.5564100060096154,0.055083665114182695
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,11,650,0.3866755558894231,0.5328177584134616,0.08049166165865385
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,12,650,0.42787372295673076,0.45325946514423077,0.11887300931490384
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,13,650,0.2577287409855769,0.6889122596153846,0.05336618276742788
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,14,650,0.4521818659855769,0.5344508713942308,0.013369434063251202
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,15,650,0.31943321814903847,0.5715260667067308,0.10903010441706731
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,16,650,0.1889081280048077,0.6527614182692307,0.15833383413461538
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,17,650,0.3920504056490385,0.5142991286057692,0.0936590106670673
ch-min/NVILA-Lite-2B-SINGLE_SAT_80K-20251107_104236,Relation,18,650,0.3355089393028846,0.4799767127403846,0.1845104041466346
